"Penance" 解除诅咒 e9015ba93a0448daa19dcee8a34bc5da
"Balance" 造成更多的投掷伤害 e6e2ae7e3aca49e685346f00c6fb7964 3f3b511e1dfd4615ab8e6c43b850a2cb
"Vigor" 提高投掷速度 b050811163a0484fae8b0cbfd0c3a249 c37c453e2f244ac594e1d7769e1d4f92
"Gust" 增加投掷攻击大小 c03f30d5004249e094562277dd286e8a 3ec79863d1d84809b85e84f00ec5a86f
"Mighty Hurl" 增加投掷距离 535a312a1fec48b985eb491d5ac20571 86a01a1197324d5b9bb5c19ba3fa1e27
"Strength" 造成更多的挥杆伤害 68b9197b9def414dba65f8cbf877aadc 93e3fbafa9144c9596fd3367e3727b5e
"Exuberance" 更快的摆动速度 db1d12a9bf644b819343cfdda0c9ca6c 736530a63d3c497f9b17c5973d283dff
"Cleave" 增加挥杆攻击大小 986a533421c64132b8fee6890e1e7cc7 f1d67473ea454647b68d7c783f489e7a
"Savagery" 增加致命一击的几率 6c6b1f43ea8d43e0ba473b4080c5dac6 665a9c6b163c4485a420a6ec1602c91d
"Ferocity" 增加暴击伤害 6a9bf05e698d44e6b99a7b065b67cfc6 833209971f7f4b3291da91bb53942abd
"Demolition" 增加炸弹大小 d572e250b86c4d11a512955553be4d9b dc706512085644d4a5a847dac77eb4a7
"Explosiveness" 造成更多的炸弹伤害 5a4ec614cb1e4e5e8a0aafcd0c0374e7 4baf318bf4954a0cb7ce05784751b7df
"Fortitude" 受到较少的伤害 69fb1736d021409899690bdb5905dddd 16c7fa0de6704699b4555a253f0fbba5
"Toughness" 增加最大生命值 7a431a1136014ef88efe8a530a2716b3 151226f9fc374aeebc0c11b4e76594cd
"Heartiness" 治疗更有效 ad0424584fae467c9f89f7a9e4bdf0d7 950599879b8d48f8abc3b17d9af2dd33
"Slow Metabolism" 增加药剂持续时间 870f3fd76f934065b98fa75d5b237f12 5cb92c80d82843be86d4d9e59559bd62
"Regeneration" 通过冒险治愈疾病 49178cd284e948f0b89f0dfb9a2847bb b507880795d2471fa8f6e8a0f4ab7de1
"Craftsmanship" 死后少丢金子 5ec9f182735e418bb6dcb7f9186cc953 f73176ee0d764246b2ef69baf213e596
"Wealth" 增加黄金收入 aa7de59e30cd473783df2d2e1879cdde 390f070028984bff8f003fb517103711
"Loyalty" 降低商店物品的成本 d182cd977e1f4946b935c5e45acc8bee fc2e43b5896a4e2a9d831a7d0aea18ca
